n	xn	yn
1	0.7883000000	1.8945300000
2	0.9371400000	2.4356174371
3	1.0859800000	3.0449975052
4	1.2348200000	3.7362243771
5	1.3836600000	4.5255024029
6	1.5325000000	5.4316387153
7	1.6813400000	6.4761309380
8	1.8301800000	7.6834246988
9	1.9790200000	9.0813445053
10	2.1278600000	10.7016836633
11	2.2767000000	12.5809348968
