n	xn	yn
1	0.8050100000	1.9456600000
2	0.9361600000	2.5630693135
3	1.0673100000	3.2524863858
4	1.1984600000	4.0256955251
5	1.3296100000	4.8964537186
6	1.4607600000	5.8805046952
7	1.5919100000	6.9956570698
8	1.7230600000	8.2619466046
9	1.8542100000	9.7018899239
10	1.9853600000	11.3408280475
11	2.1165100000	13.2073538580
